id,mnts_gw,date,region,type,city,city_size,city_class,eco,actors_all,actor1,act_type1,people,repert1,site_number,site_type,duration,claim1,direction,target,response,vandalism,violence,international,solidarity,extra,group_name,year,month,company_name,actor2,act_type2,act_fa,act_ip,act_ms,act_opzz,act_znp,act_s80,act_pis,act_sld,act_sr80,act_pip,act_fzz,act_ppp,act_nszzs,act_razem,site_base,repert2,claim2,claim_name
11,3,200401,DSL,protest,Wrocław,638,voyvodeship,healthsocial,NA,NA,nonorganised,30,blockade,1,stateregional,NA,wage,offense,govtcentral,positive,n,n,n,n,0,NA,2004,jan,Wrocław Rydygier,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
12,2,200401,DSL,protest,Wrocław,638,voyvodeship,construction,NA,NA,nonorganised,200,legal,1,company,NA,wage,offense,govtlocal,positive,n,n,n,n,0,NA,2004,jan,Wrocławska Jedynka,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,NOCLAIM2,0
13,1,200401,PDK,protest,Krosno,47,normal,healthsocial,NA,NA,nonorganised,400,legal,1,infrastructure,h2,conditions,offense,publicgeneral,NA,n,n,n,n,0,NA,2004,jan,Krosno hospital,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,NOCLAIM2,0
14,2,200401,SLA,protest,NOTCITY,NOTCITY,NOTCITY,information,S,s,unionlocal,600,strike,1,stateregional,NA,govtpolicycompany,offense,company,unclear,n,n,n,n,0,NA,2004,jan,Telekomunikacja Polska,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,NA,NOREPERT2,layoffs,0
15,3,200401,DSL,protest,Wrocław,638,voyvodeship,construction,S,s,unionlocal,NA,demonstration,1,company,NA,managepersonal,offense,govtcentral,NA,n,n,n,n,0,NA,2004,jan,Wrocławska Jedynka,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
16,1,200401,POM,protest,Gdańsk,464,voyvodeship,manufactoring,S,s,unionlocal,20,demonstration,1,publicspace,NA,wage,defense,govtlocal,NA,n,n,n,n,0,NA,2004,jan,Gdańsk shipyard,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,layoffs,0
17,5,200401,SWK,protest,Jędrzejów,15,normal,manufactoring,S,s,unionlocal,46,blockade,1,company,h48,wage,defense,govtlocal,positive,n,n,n,n,0,NA,2004,jan,Resanus,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,conditions,0
18,1,200401,MAZ,protest,Warszawa,1754,voyvodeship,education,ZNP,znp,unionlocal,NA,agitation,1,publicspace,NA,bankrupcy,offense,other,NA,n,n,n,n,0,NA,2004,jan,NA,NOACT2,NOACT2,n,n,n,n,y,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,NOCLAIM2,0
19,4,200402,PDK,threat,NOTCITY,NOTCITY,NOTCITY,healthsocial,NA,NA,nonunion,NA,slowdown,1,company,NA,layoffs,offense,govtcentral,NA,n,n,n,n,0,NA,2004,feb,Sphinx,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,managepersonal,0
20,5,200402,SLA,threat,NOTCITY,NOTCITY,NOTCITY,healthsocial,NA,NA,unionlocal,600,strike,1,company,NA,wage,offense,company,positive,n,n,n,n,0,NA,2004,feb,MPK Lublin,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,bigger NFZ conctracts
21,1,200402,SWK,protest,Radoszyce,3,normal,education,NA,NA,nonorganised,NA,agitation,1,publicspace,NA,layoffs,defense,company,NA,n,n,n,n,0,NA,2004,feb,Bieruń mine,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,layoffs,0
22,1,200402,MAP,threat,Wadowice,19,normal,transportpost,NA,NA,unionlocal,NA,strike,1,statecentral,NA,wage,offense,company,positive,n,n,n,n,0,NA,2004,feb,Katowice Śniadeckiego,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
23,1,200402,SLA,threat,Częstochowa,227,normal,energy,NA,NA,unionlocal,NA,strike,1,statecentral,NA,wage,offense,govtcentral,NA,n,n,n,n,0,NA,2004,feb,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,layoffs,0
24,1,200402,WLK,threat,Poznań,542,voyvodeship,energy,NA,NA,unionlocal,NA,strike,1,company,NA,duesalary,defense,govtlocal,negative,n,n,n,n,0,NA,2004,feb,Biedronka,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,layoffs,0
25,1,200402,POM,protest,Gdańsk,464,voyvodeship,manufactoring,NA,NA,unionlocal,NA,blockade,1,stateregional,NA,wage,defense,govtlocal,NA,n,n,n,n,0,NA,2004,feb,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,drastic,culture,alterglobalist summit
26,1,200402,LDZ,protest,Łódź,697,voyvodeship,sportculture,NA,NA,nonorganised,NA,strike,1,company,w2,managepersonal,defense,govtcentral,negative,n,n,n,n,0,NA,2004,feb,Cherrywood,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
27,3,200402,KPO,protest,Toruń,202,voyvodeship,agriculture,NA,NA,nonorganised,70,demonstration,1,company,NA,bankrupcy,offense,govtcentral,NA,n,n,n,n,0,NA,2004,feb,Mittel Steel,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,policywork,pension age
28,1,200402,DSL,protest,Wrocław,638,voyvodeship,construction,NA,NA,nonorganised,100,demonstration,1,infrastructure,NA,layoffs,defense,company,NA,n,n,n,n,0,NA,2004,feb,NOTCOMPANY,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,privatisationanti,0
29,3,200402,DSL,protest,Wrocław,638,voyvodeship,healthsocial,NA,NA,unionlocal,200,demonstration,1,company,h2,layoffs,offense,govtlocal,NA,n,n,n,n,0,NA,2004,feb,Sendzimir foundry,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
30,1,200402,POM,protest,Gdańsk,464,voyvodeship,realestate,NA,NA,nonunion,200,demonstration,1,company,NA,wage,defense,govtlocal,positive,n,n,n,n,0,NA,2004,feb,Isuzu,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,conditions,0
31,2,200402,MAP,protest,Andrychów,21,normal,manufactoring,NA,NA,nonorganised,570,appeal,1,stateother,NA,wage,offense,company,negative,n,n,n,n,0,NA,2004,feb,NA,NOACT2,community,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
32,1,200402,MAP,protest,Kraków,765,voyvodeship,education,NA,NA,nonorganised,NA,nonspecific,2,stateregional,NA,govtpolicycompany,offense,govtcentral,NA,n,n,n,n,0,NA,2004,feb,Katowice Śniadeckiego,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,layoffs,0
33,2,200402,SLA,threat,Częstochowa,227,normal,manufactoring,S,s,unionlocal,NA,strike,1,statecentral,NA,investment,offense,govtlocal,NA,n,n,n,n,0,NA,2004,feb,PKM Gliwice,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,collagreement,0
34,1,200402,POM,protest,Gdańsk,464,voyvodeship,traderepair,S,s,unioncentral,NA,drastic,1,statecentral,NA,wage,offense,company,positive,n,n,n,n,0,NA,2004,feb,Telekomunikacja Polska,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,7,NOREPERT2,layoffs,0
35,1,200402,DSL,protest,Wrocław,638,voyvodeship,information,S,s,unionlocal,20,demonstration,1,company,h2,wage,offense,company,negative,n,n,n,n,0,NA,2004,feb,Bridgestone,NOACT2,NOACT2,n,y,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
36,1,200402,DSL,protest,Wrocław,638,voyvodeship,manufactoring,S,s,unionlocal,100,demonstration,1,company,h2,wage,offense,company,negative,n,n,n,n,0,NA,2004,feb,Poczta Polska,s,NOACT2,n,n,n,y,n,n,n,n,n,n,n,n,y,n,NA,NOREPERT2,NOCLAIM2,0
37,9,200402,MAZ,protest,Kozienice,18,normal,transportpost,S,s,unionlocal,200,strike,1,company,NA,duesalary,defense,govtlocal,unclear,n,n,n,n,0,NA,2004,feb,Poczta Polska,s,NOACT2,n,n,n,y,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,policyother,0
38,2,200402,ZCP,protest,Szczecin,405,voyvodeship,manufactoring,S S80,s,unionlocal,2000,demonstration,1,stateregional,h12,layoffs,defense,govtlocal,negative,n,n,n,n,0,NA,2004,feb,Real,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
39,2,200402,MAZ,protest,Płock,121,normal,manufactoring,ZSMP,zsmp,community,30,blockade,1,company,h24,wage,defense,company,negative,n,n,n,n,0,NA,2004,feb,NA,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
40,2,200403,SWK,threat,Kielce,198,voyvodeship,mining,NA,NA,unionlocal,NA,strike,1,company,h24,wage,offense,company,positive,n,n,n,n,0,NA,2004,mar,BisonBial,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
41,1,200403,DSL,threat,Wrocław,638,voyvodeship,energy,NA,NA,unionlocal,NA,strike,1,company,NA,wage,offense,company,positive,n,n,n,n,0,NA,2004,mar,Delia,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
42,1,200403,POM,protest,Bytów,170,normal,adminsupport,NA,NA,unionlocal,NA,nonspecific,1,stateregional,NA,atypical,defense,govtlocal,NA,n,n,n,n,0,bootleg mining,2004,mar,Gdańsk shipyard,opzz,NOACT2,n,n,n,y,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
43,2,200403,MAZ,protest,Warszawa,1754,voyvodeship,manufactoring,NA,NA,unionlocal,NA,demonstration,1,stateregional,NA,bankrupcy,defense,company,positive,n,n,n,n,0,NA,2004,mar,Bogdanka mine,opzz,NOACT2,n,n,n,y,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
44,3,200403,LBL,protest,Lublin,340,voyvodeship,sportculture,NA,NA,nonorganised,NA,strike,1,stateregional,NA,bankrupcy,offense,publicgeneral,NA,n,n,n,n,0,NOGROUP,2004,mar,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
45,2,200403,OPO,protest,Opole,128,voyvodeship,healthsocial,NA,NA,unionlocal,NA,nonspecific,1,stateregional,NA,wage,offense,company,negative,n,n,n,n,0,NA,2004,mar,PERN,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,duesalary,0
46,1,200403,DSL,protest,Lubań,22,normal,healthsocial,NA,NA,nonorganised,NA,demonstration,1,company,NA,conditions,offense,publicgeneral,NA,n,n,n,n,0,NA,2004,mar,Rybnik psychiatric,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,policywork,0
47,2,200403,PDL,protest,Białystok,297,voyvodeship,manufactoring,NA,NA,nonorganised,NA,demonstration,1,company,NA,wage,defense,company,positive,n,n,n,n,0,NA,2004,mar,KlimGaz,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
48,1,200403,PDK,protest,Korczowa,1,normal,transportpost,NA,NA,nonorganised,NA,blockade,1,company,h2,duesalary,offense,govtlocal,negative,n,n,n,n,0,NA,2004,mar,Poczta Polska,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,against removing the plant from KSC
49,1,200403,DSL,protest,Wałbrzych,115,normal,household,NA,NA,atypical,NA,demonstration,1,company,NA,wage,offense,company,positive,n,n,n,n,0,NA,2004,mar,ZE Bydgoszcz,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
50,1,200403,LDZ,protest,Łódź,697,voyvodeship,sportculture,NA,NA,nonorganised,3,strike,1,company,h48,wage,defense,other,NA,n,n,n,n,0,NA,2004,mar,NA,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
51,1,200403,MAP,protest,Kraków,765,voyvodeship,NOTCOMPANY,NA,NA,atypical,10,demonstration,1,company,h2,govtpolicycompany,offense,company,unclear,n,n,n,n,0,NA,2004,mar,NA,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
52,1,200403,OPO,protest,Głubczyce,13,normal,healthsocial,NA,NA,nonorganised,40,drastic,1,stateregional,NA,layoffs,offense,govtlocal,unclear,n,n,n,n,0,NA,2004,mar,PKP,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,free mass transit
53,2,200403,DSL,protest,Lubań,22,normal,healthsocial,NA,NA,nonorganised,70,drastic,1,stateregional,NA,wage,offense,company,negative,n,n,n,n,0,NA,2004,mar,MediaMarkt,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,atypical,0
54,2,200403,SWK,protest,Rytwiany,2,normal,manufactoring,NA,NA,nonorganised,110,blockade,1,stateregional,NA,wage,offense,company,NA,n,n,n,n,0,NA,2004,mar,Toyota,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
55,2,200403,PDK,threat,Stalowa Wola,63,normal,manufactoring,S,s,unionlocal,NA,strike,1,publicspace,NA,govtpolicycompany,defense,govtcentral,unclear,n,n,n,n,0,NA,2004,mar,Uniontex,ip,movement,n,y,n,n,n,n,n,n,y,n,n,y,n,n,1,NOREPERT2,NOCLAIM2,0
56,1,200403,PDK,protest,Przeworsk,16,normal,manufactoring,S,s,unionlocal,NA,strike,1,statecentral,h12,political,offense,govtlocal,positive,n,n,n,n,0,NA,2004,mar,NA,NOACT2,NOACT2,n,n,n,n,y,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,NOCLAIM2,0
57,4,200403,LBL,protest,Tomaszów Lubelski,20,normal,manufactoring,S,s,unionlocal,10,drastic,1,publicspace,NA,wage,offense,company,negative,n,n,n,n,0,NA,2004,mar,PKP Cargo,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,conditions,0
58,3,200403,DSL,protest,Wrocław,638,voyvodeship,construction,S,s,unionlocal,50,demonstration,1,company,NA,wage,offense,company,negative,n,n,n,n,0,NA,2004,mar,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,commemorating victims of martial law
59,1,200403,SWK,protest,Staszów,15,normal,manufactoring,S,s,unioncentral,110,blockade,1,statecentral,w2,layoffs,defense,govtlocal,positive,n,n,n,n,0,healthcare,2004,mar,Toruń pediatric,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
60,26,200403,DSL,protest,Wrocław,638,voyvodeship,construction,S,s,unioncentral,150,blockade,1,publicspace,h12,conditions,offense,publicgeneral,NA,n,n,n,n,0,NA,2004,mar,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,layoffs,0
61,4,200403,LBS,protest,Witnica,7,normal,manufactoring,S,s,unionlocal,300,slowdown,1,company,h48,wage,defense,company,negative,n,n,n,n,0,healthcare,2004,mar,Solino,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,conditions,0
62,4,200403,DSL,protest,Wrocław,638,voyvodeship,construction,S,s,nonorganised,300,demonstration,1,statecentral,NA,duesalary,offense,govtlocal,NA,n,n,n,n,0,veterinary,2004,mar,KHW,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
63,1,200403,MAZ,threat,Warszawa,1754,voyvodeship,transportpost,SR80,sr80,unionlocal,NA,strike,1,company,NA,unionize,defense,other,NA,n,n,n,n,0,NA,2004,mar,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,160,NOREPERT2,NOCLAIM2,0
64,1,200404,SLA,protest,Chorzów,110,normal,traderepair,NA,NA,nonorganised,NA,strike,1,company,NA,bankrupcy,offense,company,negative,n,n,n,n,0,NA,2004,apr,Lublin child,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
65,3,200404,POM,protest,Pyrzyce,13,normal,healthsocial,NA,NA,nonorganised,30,blockade,1,stateregional,NA,govtpolicycompany,defense,govtlocal,positive,n,n,n,n,0,photojournalists,2004,apr,Lublin child,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,against SERVICE DIRECTIVE
66,1,200404,SLA,protest,Rybnik,140,normal,energy,NA,NA,unionlocal,200,demonstration,1,company,NA,managepersonal,offense,govtcentral,negative,n,n,n,n,0,NA,2004,apr,Kraków JP2,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,bankrupcy,0
67,3,200404,LBL,protest,Lublin,340,voyvodeship,transportpost,NA,NA,nonorganised,300,demonstration,2,company,h24,privatisationanti,offense,govtlocal,positive,n,n,n,n,0,NA,2004,apr,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
68,6,200404,MAZ,protest,Warszawa,1754,voyvodeship,NOTCOMPANY,FA,fa,movement,3500,demonstration,9,company,h24,wage,offense,company,NA,n,n,n,n,0,NA,2004,apr,KW,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,privatisationanti,0
69,1,200404,SLA,protest,Gliwice,182,normal,healthsocial,S,s,unionlocal,NA,demonstration,1,company,NA,pension,defense,company,negative,n,n,n,n,0,NA,2004,apr,HCP,NOACT2,movement,n,y,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
70,1,200404,PDK,protest,Stalowa Wola,63,normal,manufactoring,S,s,unionlocal,NA,demonstration,1,company,NA,wage,offense,company,NA,n,n,n,n,0,NA,2004,apr,Auchan,NOACT2,NOACT2,n,y,n,n,n,n,n,n,n,n,n,n,n,n,5,NOREPERT2,NOCLAIM2,against EUROPEJSKIE FORUM GOSPODARCZE
71,1,200404,MAZ,protest,Warszawa,1754,voyvodeship,construction,S,s,unionlocal,5,demonstration,1,company,NA,wage,offense,company,unclear,n,n,n,n,0,NA,2004,apr,Warszawa Niekłańska,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,unionize,0
72,1,200404,DSL,protest,Wrocław,638,voyvodeship,construction,S,s,unionlocal,20,demonstration,1,company,NA,other,defense,company,negative,n,n,n,n,0,veterinary,2004,apr,Warszawa IPN,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
73,2,200404,POM,protest,NOTCITY,NOTCITY,NOTCITY,transportpost,S,s,unionlocal,NA,blockade,2,company,NA,duesalary,defense,company,NA,n,n,n,n,0,healthcare,2004,apr,Warszawa Praski,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
74,4,200404,POM,protest,NOTCITY,NOTCITY,NOTCITY,transportpost,S,s,unionlocal,15,blockade,7,company,w1,commemoration,defense,company,NA,n,n,n,n,0,NA,2004,apr,NA,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
75,7,200404,ZCP,protest,Szczecin,405,voyvodeship,manufactoring,S S80 OPZZ,s,unionlocal,10000,demonstration,1,stateother,NA,privatisationpro,defense,company,negative,n,n,n,n,0,healthcare,2004,apr,NA,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
76,1,200404,KPO,protest,Żnin,14,normal,manufactoring,Samoobrona,samoobrona,nonorganised,300,blockade,1,company,h24,wage,defense,company,positive,n,n,n,n,0,NA,2004,apr,NA,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,NOCLAIM2,against unlawful excise duty
77,13,200404,KPO,protest,Żnin,14,normal,manufactoring,SLD,sld,nonorganised,25,drastic,1,company,h2,bankrupcy,offense,govtcentral,negative,n,n,n,n,0,veterinary,2004,apr,NA,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
78,1,200405,LBL,threat,Lublin,340,voyvodeship,education,NA,NA,other,NA,nonspecific,1,stateregional,NA,wage,offense,company,negative,n,n,n,n,0,NA,2004,may,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,NOCLAIM2,0
79,1,200405,PDK,protest,Lesko,6,normal,education,NA,NA,unionlocal,NA,demonstration,1,company,h2,govtpolicywork,offense,govtlocal,NA,n,n,n,n,0,NA,2004,may,TIR,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,NOCLAIM2,0
80,1,200405,MAZ,protest,Warszawa,1754,voyvodeship,healthsocial,NA,NA,other,NA,demonstration,1,statecentral,NA,conditions,defense,company,negative,n,n,n,n,0,veterinary,2004,may,Łódź city guard,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,NOCLAIM2,0
81,1,200405,SWK,protest,Starachowice,49,normal,healthsocial,NA,NA,nonorganised,16,blockade,1,company,w1,conditions,offense,govtcentral,NA,n,n,n,n,0,NA,2004,may,TIR,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,NOCLAIM2,0
82,3,200405,LBL,protest,Szczebrzeszyn,5,normal,manufactoring,NA,NA,nonorganised,100,blockade,1,company,NA,layoffs,defense,govtlocal,negative,n,n,n,n,0,NA,2004,may,ŁKS,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,blockade,NOCLAIM2,against unlawful competition
83,1,200405,PDK,protest,Przemyśl,62,normal,healthsocial,NA,NA,nonorganised,20,slowdown,1,statecentral,NA,wage,defense,govtlocal,positive,n,n,n,n,0,NA,2004,may,Szczecin Nowa shipyard,s,NOACT2,n,n,n,y,n,n,n,n,n,n,n,n,y,n,1,NOREPERT2,NOCLAIM2,0
84,5,200405,LDZ,protest,NOTCITY,NOTCITY,NOTCITY,healthsocial,NA,NA,nonorganised,NA,nonspecific,18,stateregional,NA,wage,defense,company,negative,n,n,n,n,0,motocross,2004,may,NA,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,y,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
85,1,200405,MAZ,protest,Warszawa,1754,voyvodeship,NOTCOMPANY,OPZZ SLD,opzz,unioncentral,700,demonstration,1,publicspace,NA,govtpolicycompany,offense,govtcentral,NA,n,n,n,n,0,occupational therapy,2004,may,NA,NOACT2,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,y,n,NA,NOREPERT2,policywork,0
